end_station_id,rides,end_station_name,end_station_lat,end_station_lng
146,6,Hudson St & Reade St,40.71625008,-74.0091059
2023,3,E 55 St & Lexington Ave,40.75968085,-73.97031366
264,3,Maiden Ln & Pearl St,40.70706456,-74.00731853
304,3,Broadway & Battery Pl,40.70463334,-74.01361706
309,3,Murray St & West St,40.7149787,-74.013012
3183,8253,Exchange Place,40.7162469,-74.0334588
3184,2535,Paulus Hook,40.7141454,-74.0335519
3185,2805,City Hall,40.7177325,-74.043845
3186,16509,Grove St PATH,40.71958611647166,-74.04311746358871
3187,3042,Warren St,40.7211236,-74.03805095
3191,507,Union St,40.7182113,-74.0836394
3192,2508,Liberty Light Rail,40.7112423,-74.0557013
3193,1059,Lincoln Park,40.7246050998869,-74.07840594649315
3194,1284,McGinley Square,40.7253399253558,-74.06762212514877
3195,5088,Sip Ave,40.73074262530658,-74.06378388404846
3196,744,Riverview Park,40.7443187,-74.0439909
3198,840,Heights Elevator,40.748715945380226,-74.04044330120087
3199,3339,Newport Pkwy,40.7287448,-74.0321082
3201,441,Dey St,40.737711,-74.066921
3202,4956,Newport PATH,40.7272235,-74.0337589
3203,6402,Hamilton Park,40.727595966,-74.044247311
3205,1785,JC Medical Center,40.71653978099194,-74.0496379137039
3206,972,Hilltop,40.7311689,-74.0575736
3207,1323,Oakland Ave,40.7376037,-74.0524783
3209,2280,Brunswick St,40.7241765,-74.0506564
3210,1473,Pershing Field,40.742677141,-74.051788633
3211,3123,Newark Ave,40.72152515,-74.046304543
3212,735,Christ Hospital,40.734785818,-74.050443636
3213,2484,Van Vorst Park,40.71848892,-74.047726625
3214,2355,Essex Light Rail,40.7127742,-74.0364857
3220,744,5 Corners Library,40.734961020009514,-74.0595030784607
3225,1080,Baldwin at Montgomery,40.7236589,-74.0641943
3267,2664,Morris Canal,40.7124188237569,-74.03852552175522
3268,825,Lafayette Park,40.71346382669195,-74.06285852193832
3269,2133,Brunswick & 6th,40.72601172964625,-74.05038893222809
327,27,Vesey Pl & River Terrace,40.7153379,-74.01658354
3270,1950,Jersey & 6th St,40.72528910781132,-74.04557168483734
3272,2301,Jersey & 3rd,40.72333158646436,-74.04595255851744
3273,2154,Manila & 1st,40.721650724879986,-74.04288411140442
3275,2136,Columbus Drive,40.71835519823214,-74.03891444206238
3276,3633,Marin Light Rail,40.71458403535893,-74.04281705617905
3277,468,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016
3278,1752,Monmouth and 6th,40.72568548362901,-74.04879033565521
3279,1533,Dixon Mills,40.721630142638354,-74.04996782541275
3280,897,Astor Place,40.71928220070702,-74.07126188278198
3281,720,Leonard Gordon Park,40.74590996631558,-74.0572714805603
336,3,Sullivan St & Washington Sq,40.73047747,-73.99906065
3400,3,E 110 St & Madison Ave,40.7961535,-73.94782145
3426,48,JCBS Depot,40.70965083364061,-74.06860113143921
3461,3,Murray St & Greenwich St,40.714851505262516,-74.01122331619263
3481,1110,York St,40.71649,-74.04105
3483,1005,Montgomery St,40.71942,-74.05099
3547,3,Broadway & Moylan Pl,40.8143256,-73.9590255
3638,2952,Washington St,40.7242941,-74.0354826
3639,4137,Harborside,40.7192517,-74.034234
3640,1803,Journal Square,40.73367,-74.0625
3677,342,Glenwood Ave,40.72755146730012,-74.07106071710587
3678,786,Fairmount Ave,40.72572613742557,-74.07195925712585
3679,861,Bergen Ave,40.722103786686034,-74.07145500183105
3681,1902,Grand St,40.71517767732029,-74.03768330812454
3694,195,Jackson Square,40.71113,-74.0789
380,3,W 4 St & 7 Ave S,40.73401143,-74.00293877
426,3,West St & Chambers St,40.71754834,-74.01322069
427,3,Bus Slip & State St,40.701907,-74.013942
486,3,Broadway & W 29 St,40.7462009,-73.98855723
508,6,W 46 St & 11 Ave,40.76341379,-73.99667444
514,9,12 Ave & W 40 St,40.76087502,-74.00277668
534,9,Water - Whitehall Plaza,40.70255065,-74.0127234
